Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Geodesic Distance (km),Route Factor,Distance Category
40,3,1,Achimota Substation,7,Kumasi Central Substation,330,225.4,303.7,Active,Overhead,195.77,1.151,Long (>100 km)
41,3,7,Kumasi Central Substation,12,Takoradi Substation,330,228.3,298.9,Active,Overhead,197.48,1.156,Long (>100 km)
42,3,12,Takoradi Substation,16,Cape Coast Substation,330,70.5,455.1,Active,Overhead,61.34,1.149,Medium (41-100 km)
43,3,16,Cape Coast Substation,20,Koforidua Substation,330,178.8,506.3,Active,Overhead,155.13,1.153,Long (>100 km)
44,3,20,Koforidua Substation,24,Ho Substation,330,113.7,408.5,Active,Overhead,98.73,1.152,Long (>100 km)
45,3,24,Ho Substation,28,Sunyani Substation,330,367.7,450.7,Active,Overhead,319.94,1.149,Long (>100 km)
46,3,28,Sunyani Substation,31,Tamale Substation,330,324.3,309.8,Active,Overhead,281.07,1.154,Long (>100 km)
47,3,31,Tamale Substation,34,Bolgatanga Substation,330,175.4,231.0,Active,Overhead,151.72,1.156,Long (>100 km)
48,3,34,Bolgatanga Substation,36,Wa Substation,330,227.0,314.3,Active,Overhead,197.39,1.15,Long (>100 km)
49,9,34,Bolgatanga Substation,37,Bolgatanga Interconnection,330,53.0,217.9,Active,Overhead,47.91,1.106,Medium (41-100 km)
50,9,37,Bolgatanga Interconnection,43,Bobo-Dioulasso Hub,330,426.0,229.9,Active,Overhead,387.72,1.099,Long (>100 km)
51,5,38,Elubo Border Station,7,Kumasi Central Substation,330,235.2,285.0,Active,Overhead,213.18,1.103,Long (>100 km)
52,5,38,Elubo Border Station,42,Abidjan Transmission Hub,330,141.3,184.6,Active,Overhead,128.55,1.099,Long (>100 km)
53,6,39,Aflao Border Station,2,Tema Substation,330,157.9,207.8,Active,Overhead,143.61,1.1,Long (>100 km)
54,6,39,Aflao Border Station,40,Lome Transmission Hub,330,3.8,323.5,Active,Overhead,3.5,1.086,Short (<=40 km)
55,6,40,Lome Transmission Hub,41,Cotonou Transmission Hub,330,150.0,326.6,Active,Overhead,136.51,1.099,Long (>100 km)
